pajek,subd_id,subd_name,disc_id,x,y,size,
424,236,General Practice,12,4.45,-2.25,1.77,
544,237,Environmental Management,13,6.05,-1.31,1.53,
331,238,Diabetes Metabolism,3,3.81,-1.92,2.52,
155,239,Geotechnical Engineering,4,1.6,-1.45,2.23,
76,240,Instrumentation,7,0.8,-2.11,3.3,
334,241,Clinical Chemistry,3,3.82,-1.65,2.27,
124,242,Fluid Engineering,4,1.33,-1.71,1.93,
404,243,Arthroscopy,12,4.23,-1.71,2.12,
476,244,Eating Disorders; Sex Roles,13,5.46,-1.65,1.44,
174,245,Water Quality & Resource Management,4,1.86,-1.21,1.46,
526,246,Ethnic Migration,13,5.92,-1.25,1.32,
451,247,Geriatric Psychiatry,8,4.81,-1.65,1.64,
100,248,Sound & Vibration,4,1.11,-1.73,2.72,
133,249,Ore Processing,4,1.41,-1.75,1.73,
509,250,Ethnology,13,5.89,-1.08,1.64,
337,251,Prenatal Diagnostics,3,3.85,-1.61,1.89,
375,252,Cancer (translated),3,4.04,-1.4,2.07,
73,253,Dielectrics,7,0.78,-2.06,1.7,
193,254,Atmospheric GeoPhysics,6,2.04,-0.68,3.46,
254,255,Flavors & Fragrance,5,2.75,-2.09,1.95,
99,256,Numerical Methods in Engineering,4,1.11,-1.88,2.32,
271,257,EthnoPharmacology,5,3.03,-2.09,2.6,
362,258,Electrocardiography,3,3.97,-1.75,2.36,
545,259,International Development,13,6.07,-1.3,1.42,
140,260,Electrochemistry,4,1.53,-2.19,4.04,
512,261,Political Studies,13,5.89,-1.32,1.6,
314,262,Molecular Endocrinology,3,3.69,-1.75,3.03,
105,263,Surface Coating Technology,11,1.16,-2.14,3.95,
281,264,Molecular Biochemical Parasitology,1,3.15,-0.99,1.79,
481,265,Vocational Counseling,13,5.64,-1.56,1.35,
145,266,Oil & Natural Gas,4,1.55,-1.37,1.87,
508,267,International Conflict,13,5.88,-1.25,1.78,
494,268,Art History,9,5.86,-0.57,2.26,
171,269,Applied Catalysis,5,1.84,-2.17,1.66,
2,270,Agricultural Economics,13,-0.14,-1.35,1.39,
477,271,Social Work,13,5.49,-1.57,1.52,
417,272,Medical Insurance,12,4.39,-2.29,1.85,
160,273,Fluid Phase Equilibrium,4,1.65,-2.15,2.06,
278,274,Biotechnology Trends,2,3.13,-1.33,1.56,
187,275,Air Quality,6,1.97,-0.63,1.96,
9,276,Search Engines; Web Crawling,7,0.06,-1.65,1.43,
156,277,Colloid,5,1.61,-2.17,2.16,
380,278,Applied Physiology; Muscle,12,4.07,-1.88,2.51,
495,279,Biblical Literature,9,5.86,-0.57,2.16,
51,280,Fault Tolerant Computing,7,0.53,-1.85,1.4,
517,281,Third World Political Economics,13,5.9,-1.3,1.57,
429,282,Public Hospitals,12,4.51,-2.36,1.55,
497,283,Sociology,13,5.86,-1.43,1.43,
229,284,Horticulture,1,2.5,-0.98,2.58,
353,285,Bone & Osteoporosis,3,3.93,-1.82,1.82,
379,286,Radiation Therapy,3,4.06,-1.38,2.34,
170,287,Water Treatment,4,1.83,-1.38,1.84,
46,288,Spyware; Malware,7,0.47,-1.76,1.84,
468,289,Behavioral Research Therapy,12,5.23,-1.63,1.47,
485,290,Science Education,13,5.74,-1.43,1.99,
17,291,Design & Analysis of Algorithms,11,0.26,-1.82,1.63,
408,292,Hospice Care,12,4.29,-2.02,1.6,
194,293,Climatology,6,2.04,-0.75,1.89,
241,294,Crop Science,1,2.62,-1.04,2.37,
30,295,Fuzzy Sets,7,0.4,-1.82,2.03,
116,296,Vehicle System Design,4,1.25,-1.62,1.75,
308,297,Transfusion,3,3.62,-1.46,1.73,
434,298,AIDS Treatment,12,4.55,-2.39,1.45,
55,299,Wireless Communication,7,0.54,-1.92,2.98,
339,300,Atherosclerosis,3,3.85,-1.72,2.16,
423,301,Region & Medical Ethics,12,4.44,-2.33,1.22,
458,302,Speech Language & Hearing,8,5,-1.56,1.37,
313,303,Thoracic & Respiratory,3,3.67,-1.49,1.74,
280,304,Veterinary Microbiology,10,3.14,-1.26,2.19,
201,305,Environmental Protection,4,2.2,-1.09,2.23,
24,306,Computer Systems Design,7,0.36,-1.74,1.44,
200,307,Environmental Pollution,4,2.18,-1.01,1.74,
63,308,Electrical Networks,7,0.65,-1.97,1.92,
342,309,Endoscopy,3,3.87,-0.98,2.47,
147,310,Chemistry & Material Science,5,1.55,-2.28,3.41,
330,311,Medical Screening & Epidemiology,12,3.81,-2.14,1.92,
471,312,Child Development,13,5.29,-1.61,1.6,
407,313,Pain,12,4.29,-1.75,1.83,
532,314,Public Administration,13,5.93,-1.43,1.36,
226,315,Soil Analysis,1,2.44,-0.94,1.57,
149,316,Safety Management,4,1.56,-1.44,1.55,
48,317,Pattern Recognition,7,0.49,-1.88,3.16,
460,318,Mental Health Assessment,12,5.05,-1.72,1.71,
359,319,Clinical Medicine (translated),3,3.96,-1.42,4.33,
298,320,Mutation; DNA Repair,10,3.49,-1.35,2.06,
236,321,Human Evolution,1,2.56,-0.66,1.42,
78,322,Space Research,11,0.85,-2,2.82,
251,323,Entomology,1,2.72,-0.71,1.66,
437,324,Epilepsy,8,4.61,-1.58,2.29,
227,325,Plant Ecology,1,2.47,-0.78,1.82,
218,326,Computer Aided Molecular Design,5,2.37,-2.28,1.29,
478,327,Criminology,13,5.52,-1.47,1.31,
463,328,Forensic Psychiatry,8,5.12,-1.7,1.22,
475,329,Personality,13,5.43,-1.7,1.65,
68,330,Test Equipment,7,0.69,-1.98,1.54,
18,331,Logic,7,0.3,-1.93,1.32,
154,332,Pulp Paper Science,4,1.56,-1.99,1.47,
152,333,Textiles,4,1.56,-1.91,1.43,
540,334,Contemporary Philosophy,9,6.01,-0.47,1.5,
169,335,Hydrology Soil Contamination,4,1.81,-1.22,1.26,
472,336,Child Abuse,13,5.3,-1.61,1.22,
42,337,Mathematics Research,11,0.46,-2.15,2.01,
179,338,Geology (International),6,1.9,-0.64,2.09,
224,339,Environmental Chemistry,5,2.42,-2.24,1.6,
279,340,Parasitology,1,3.14,-0.88,1.89,
266,341,Dairy Science,10,2.96,-1.36,1.61,
172,342,Water Policy,4,1.85,-1.2,1.43,
214,343,Fish Research,1,2.32,-0.71,1.55,
131,344,Printing,4,1.38,-1.84,1.99,
249,345,Genetics,1,2.7,-0.89,2.05,
126,346,Industrial Chemistry,4,1.34,-1.81,3.48,
363,347,Obesity,12,3.97,-1.93,1.6,
503,348,Literary Criticism,9,5.87,-0.57,1.17,
315,349,Hepatology,3,3.7,-1.08,2.3,
436,350,Physical Therapy; Brain Injury,8,4.6,-1.75,1.84,
62,351,Computational Math,11,0.64,-2.04,1.92,
291,352,World Health Organization,10,3.39,-1.2,1.47,
87,353,Geophysical Science,11,0.95,-2.06,1.64,
455,354,Forensic Medicine,12,4.95,-1.73,1.4,
464,355,Psychiatric Services,12,5.14,-1.71,1.34,
22,356,Software Design and Development,7,0.33,-1.7,1.38,
231,357,Wildlife Management,1,2.53,-0.74,1.38,
165,358,Ocean Coastal Management,4,1.73,-0.91,1.26,
16,359,Database Design & Management,7,0.24,-1.74,1.49,
542,360,Financial Accounting,13,6.04,-1.33,1.31,
258,361,Microbiology Biotechnology,2,2.84,-1.29,2.41,
163,362,Water Utilities,4,1.71,-1.34,1.79,
178,363,Sedimentary Geology,6,1.9,-0.64,1.73,
182,364,Geodesy,6,1.91,-0.66,1.55,
159,365,Surfactants,5,1.64,-2.35,3.03,
320,366,Eye,3,3.74,-1.83,2.26,
459,367,Addictive Behavior,12,5.01,-1.83,1.4,
95,368,Naval Architecture,4,1.09,-1.43,1.53,
211,369,Environmental Microbiology,1,2.24,-0.77,2.16,
38,370,Electronic Imaging,7,0.44,-1.96,1.87,
19,371,Functional Programing,7,0.3,-1.71,1.49,
257,372,Applied Genetics,1,2.82,-0.95,1.61,
253,373,Plant Disease,1,2.72,-0.91,1.8,
185,374,Water Resource,6,1.96,-1,2.44,
1,375,Developmental Economics,13,-0.14,-1.35,1.38,
97,376,Nuclear Physics,11,1.1,-2.14,3.3,
3,377,International Economics,13,-0.14,-1.35,1.32,
390,378,Radiology,3,4.11,-1.31,2.12,
521,379,German Studies,9,5.91,-0.64,1.45,
491,380,Medieval History,9,5.85,-0.59,1.46,
554,381,Philosophy of Education,9,6.12,-0.38,1.55,
104,382,Oceanographic Instrumentation,4,1.16,-1.49,1.63,
534,383,Foreign Policy,13,5.94,-1.25,1.35,
341,384,Gut,3,3.87,-0.98,2.56,
74,385,Microwaves; Radio Frequencies,7,0.78,-2.14,2.46,
474,386,School Psychology,13,5.34,-1.61,1.27,
300,387,Vaccines,10,3.51,-1.37,2.23,
537,388,Environmental Law,13,5.99,-1.26,1.27,
252,389,Mass Spectrometry,5,2.72,-1.99,2.19,
454,390,Psychiatric Nursing,12,4.95,-1.97,1.77,
500,391,Asian Studies,9,5.87,-0.77,1.09,
41,392,Optimization Theory,11,0.45,-2.11,1.63,
39,393,Mathematical Science (Russia),11,0.45,-2.07,1.77,
309,394,Gene Therapy,10,3.64,-1.39,2.14,
35,395,Security; Cryptography,7,0.42,-1.77,1.28,
115,396,Materials Processing,4,1.23,-2.13,2.5,
425,397,Rural Health Care,12,4.45,-2.29,2.37,
59,398,Power Systems,7,0.57,-1.94,1.6,
352,399,Surgical Oncology,3,3.93,-1.4,2.17,
57,400,Chip Design & Manufacturing,7,0.56,-1.78,3.03,
250,401,Sociobiology,1,2.7,-0.8,1.68,
296,402,Molecular Medicine,12,3.44,-2.17,8.17,
